Dex	Name	Type 1	Type 2
064	Kadabra	Psychic	
065	Alakazam	Psychic	
065	Alakazam	Psychic	
065	Mega Alakazam	Psychic	
066	Machop	Fighting	
067	Machoke	Fighting	
068	Machamp	Fighting	
068	Gigantamax Machamp	Fighting	
069	Bellsprout	Grass	Poison
070	Weepinbell	Grass	Poison
071	Victreebel	Grass	Poison
072	Tentacool	Water	Poison
073	Tentacruel	Water	Poison
074	Geodude	Rock	Ground
074	Alolan Geodude	Rock	Electric
075	Graveler	Rock	Ground
075	Alolan Graveler	Rock	Electric
076	Golem	Rock	Ground
076	Alolan Golem	Rock	Electric
077	Ponyta	Fire	
077	Galarian Ponyta	Psychic	
078	Rapidash	Fire	
078	Galarian Rapidash	Psychic	Fairy
079	Slowpoke	Water	Psychic
079	Galarian Slowpoke	Psychic	
080	Slowbro	Water	Psychic
080	Mega Slowbro	Water	Psychic
080	Galarian Slowbro	Poison	Psychic
081	Magnemite	Electric	Steel
082	Magneton	Electric	Steel
083	Farfetch'd	Normal	Flying
083	Galarian Farfetch'd	Fighting	
084	Doduo	Normal	Flying
084	Doduo	Normal	Flying
085	Dodrio	Normal	Flying
086	Seel	Water	
087	Dewgong	Water	Ice
088	Grimer	Poison	
088	Alolan Grimer	Poison	Dark
089	Muk	Poison	
089	Alolan Muk	Poison	Dark
090	Shellder	Water	
091	Cloyster	Water	Ice
092	Gastly	Ghost	Poison
093	Haunter	Ghost	Poison
094	Gengar	Ghost	Poison
094	Mega Gengar	Ghost	Poison
094	Gigantamax Gengar	Ghost	Poison
095	Onix	Rock	Ground
096	Drowzee	Psychic	
097	Hypno	Psychic	
098	Krabby	Water	
099	Kingler	Water	
099	Gigantamax Kingler	Water	
100	Voltorb	Electric	
100	Hisuian Voltorb	Electric	Grass
101	Electrode	Electric	
101	Hisuian Electrode	Electric	Grass
102	Exeggcute	Grass	Psychic
103	Exeggutor	Grass	Psychic
103	Alolan Exeggutor	Grass	Dragon
104	Cubone	Ground	
105	Marowak	Ground	
105	Alolan Marowak	Fire	Ghost
106	Hitmonlee	Fighting	
107	Hitmonchan	Fighting	
108	Lickitung	Normal	
109	Koffing	Poison	
110	Weezing	Poison	
110	Galarian Weezing	Poison	Fairy
111	Rhyhorn	Ground	Rock
111	Rhyhorn	Ground	Rock
112	Rhydon	Ground	Rock
113	Chansey	Normal	
114	Tangela	Grass	
115	Kangaskhan	Normal	
115	Mega Kangaskhan	Normal	
116	Horsea	Water	
117	Seadra	Water	
118	Goldeen	Water	
118	Goldeen	Water	
119	Seaking	Water	
120	Staryu	Water	
121	Starmie	Water	Psychic
122	Mr. Mime	Psychic	Fairy
122	Galarian Mr. Mime	Ice	Psychic
123	Scyther	Bug	Flying
123	Scyther	Bug	Flying
124	Jynx	Ice	Psychic
125	Electabuzz	Electric	
126	Magmar	Fire	
127	Pinsir	Bug	
127	Mega Pinsir	Bug	Flying
128	Tauros	Normal	
128	Combat Breed Tauros	Fighting	
128	Blaze Breed Tauros	Fighting	Fire
128	Aqua Breed Tauros	Fighting	Water
129	Magikarp	Water	
130	Gyarados	Water	Flying
130	Mega Gyarados	Water	Dark
131	Lapras	Water	Ice
131	Gigantamax Lapras	Water	Ice
132	Ditto	Normal	
133	Eevee	Normal	
133	Eevee	Normal	
133	Gigantamax Eevee	Normal	
133	Partner Eevee	Normal	
134	Vaporeon	Water	
135	Jolteon	Electric	
136	Flareon	Fire	
137	Porygon	Normal	
138	Omanyte	Rock	Water
139	Omastar	Rock	Water
140	Kabuto	Rock	Water
141	Kabutops	Rock	Water
142	Aerodactyl	Rock	Flying
142	Mega Aerodactyl	Rock	Flying
143	Snorlax	Normal	
143	Gigantamax Snorlax	Normal	
144	Articuno	Ice	Flying
144	Galarian Articuno	Psychic	Flying
145	Zapdos	Electric	Flying
145	Galarian Zapdos	Fighting	Flying
146	Moltres	Fire	Flying
146	Galarian Moltres	Dark	Flying
147	Dratini	Dragon	
148	Dragonair	Dragon	
149	Dragonite	Dragon	Flying
150	Mewtwo	Psychic	
150	Mega Mewtwo X	Psychic	Fighting
151	Mew	Psychic	
152	Chikorita	Grass	
153	Bayleef	Grass	
154	Meganium	Grass	
155	Cyndaquil	Fire	
156	Quilava	Fire	
157	Typhlosion	Fire	
157	Hisuian Typhlosion	Fire	Ghost
158	Totodile	Water	
159	Croconaw	Water	
160	Feraligatr	Water	
161	Sentret	Normal	
162	Furret	Normal	
163	Hoothoot	Normal	Flying
164	Noctowl	Normal	Flying
165	Ledyba	Bug	Flying
165	Ledyba	Bug	Flying
166	Ledian	Bug	Flying
167	Spinarak	Bug	Poison
168	Ariados	Bug	Poison
169	Crobat	Poison	Flying
170	Chinchou	Water	Electric
171	Lanturn	Water	Electric
172	Pichu	Electric	
172	Spiky-eared Pichu	Electric	
173	Cleffa	Fairy	
174	Igglybuff	Normal	Fairy
175	Togepi	Fairy	
176	Togetic	Fairy	Flying
177	Natu	Psychic	Flying
178	Xatu	Psychic	Flying
179	Mareep	Electric	
180	Flaaffy	Electric	
181	Ampharos	Electric	
181	Mega Ampharos	Electric	Dragon
182	Bellossom	Grass	
183	Marill	Water	Fairy
184	Azumarill	Water	Fairy
185	Sudowoodo	Rock	
185	Sudowoodo	Rock	
185	Festive Sudowoodo	Rock	
186	Politoed	Water	
187	Hoppip	Grass	Flying
188	Skiploom	Grass	Flying
189	Jumpluff	Grass	Flying
190	Aipom	Normal	
190	Aipom	Normal	
191	Sunkern	Grass	
192	Sunflora	Grass	
193	Yanma	Bug	Flying
194	Wooper	Water	Ground
194	Paldean Wooper	Poison	Ground
195	Quagsire	Water	Ground
195	Quagsire	Water	Ground
196	Espeon	Psychic	
197	Umbreon	Dark	
198	Murkrow	Dark	Flying
199	Slowking	Water	Psychic
199	Galarian Slowking	Poison	Psychic
200	Misdreavus	Ghost	
201	Unown	Psychic	
201	Unown A	Psychic	
201	Unown B	Psychic	
201	Unown C	Psychic	
201	Unown D	Psychic	
201	Unown E	Psychic	
201	Unown G	Psychic	
201	Unown H	Psychic	
201	Unown I	Psychic	
201	Unown J	Psychic	
201	Unown K	Psychic	
201	Unown L	Psychic	
201	Unown M	Psychic	
201	Unown N	Psychic	
201	Unown O	Psychic	
201	Unown P	Psychic	
201	Unown Q	Psychic	
201	Unown R	Psychic	
201	Unown S	Psychic	
201	Unown T	Psychic	
201	Unown U	Psychic	
201	Unown V	Psychic	
201	Unown W	Psychic	
201	Unown X	Psychic	
201	Unown Y	Psychic	
201	Unown Z	Psychic	
201	Unown Exclamation	Psychic	
201	Unown Question	Psychic	
202	Wobbuffet	Psychic	
202	Wobbuffet	Psychic	
203	Girafarig	Normal	Psychic
204	Pineco	Bug	
205	Forretress	Bug	Steel
206	Dunsparce	Normal	
207	Gligar	Ground	Flying
208	Steelix	Steel	Ground
208	Steelix	Steel	Ground
208	Mega Steelix	Steel	Ground
209	Snubbull	Fairy	
210	Granbull	Fairy	
211	Qwilfish	Water	Poison
211	Hisuian Qwilfish	Dark	Poison
212	Scizor	Bug	Steel
212	Scizor	Bug	Steel
212	Mega Scizor	Bug	Steel
213	Shuckle	Bug	Rock
214	Heracross	Bug	Fighting
214	Mega Heracross	Bug	Fighting
215	Sneasel	Dark	Ice
215	Sneasel	Dark	Ice
215	Hisuian Sneasel	Fighting	Poison
216	Teddiursa	Normal	
217	Ursaring	Normal	
218	Slugma	Fire	
219	Magcargo	Fire	Rock
220	Swinub	Ice	Ground
221	Piloswine	Ice	Ground
221	Piloswine	Ice	Ground
222	Corsola	Water	Rock
222	Galarian Corsola	Ghost	
223	Remoraid	Water	
224	Octillery	Water	
225	Delibird	Ice	Flying
226	Mantine	Water	Flying
227	Skarmory	Steel	Flying
228	Houndour	Dark	Fire
229	Houndoom	Dark	Fire
229	Houndoom	Dark	Fire
229	Mega Houndoom	Dark	Fire
230	Kingdra	Water	Dragon
231	Phanpy	Ground	
232	Donphan	Ground	
233	Porygon2	Normal	
234	Stantler	Normal	
235	Smeargle	Normal	
236	Tyrogue	Fighting	
237	Hitmontop	Fighting	
238	Smoochum	Ice	Psychic
239	Elekid	Electric	
240	Magby	Fire	
241	Miltank	Normal	
242	Blissey	Normal	
243	Raikou	Electric	
244	Entei	Fire	
245	Suicune	Water	
246	Larvitar	Rock	Ground
247	Pupitar	Rock	Ground
248	Tyranitar	Rock	Dark
248	Mega Tyranitar	Rock	Dark
249	Lugia	Psychic	Flying
249	Shadow Lugia	Shadow	Flying
250	Ho-Oh	Fire	Flying
251	Celebi	Psychic	Grass
252	Treecko	Grass	
253	Grovyle	Grass	
254	Sceptile	Grass	
254	Mega Sceptile	Grass	Dragon
255	Torchic	Fire	
255	Torchic	Fire	
256	Combusken	Fire	Fighting
257	Blaziken	Fire	Fighting
257	Blaziken	Fire	Fighting
257	Mega Blaziken	Fire	Fighting
258	Mudkip	Water	
259	Marshtomp	Water	Ground
260	Swampert	Water	Ground
260	Mega Swampert	Water	Ground
261	Poochyena	Dark	
262	Mightyena	Dark	
263	Zigzagoon	Normal	
263	Galarian Zigzagoon	Dark	Normal
264	Linoone	Normal	
264	Galarian Linoone	Dark	Normal
265	Wurmple	Bug	
266	Silcoon	Bug	
267	Beautifly	Bug	Flying
268	Cascoon	Bug	
269	Dustox	Bug	Poison
269	Dustox	Bug	Poison
270	Lotad	Water	Grass
271	Lombre	Water	Grass
272	Ludicolo	Water	Grass
273	Seedot	Grass	
274	Nuzleaf	Grass	Dark
274	Nuzleaf	Grass	Dark
275	Shiftry	Grass	Dark
276	Taillow	Normal	Flying
277	Swellow	Normal	Flying
278	Wingull	Water	Flying
279	Pelipper	Water	Flying
280	Ralts	Psychic	Fairy
281	Kirlia	Psychic	Fairy
282	Gardevoir	Psychic	Fairy
282	Mega Gardevoir	Psychic	Fairy
283	Surskit	Bug	Water
284	Masquerain	Bug	Flying
285	Shroomish	Grass	
286	Breloom	Grass	Fighting
287	Slakoth	Normal	
288	Vigoroth	Normal	
289	Slaking	Normal	
290	Nincada	Bug	Ground
291	Ninjask	Bug	Flying
292	Shedinja	Bug	Ghost
293	Whismur	Normal	
294	Loudred	Normal	
295	Exploud	Normal	
296	Makuhita	Fighting	
297	Hariyama	Fighting	
298	Azurill	Normal	Fairy
299	Nosepass	Rock	
300	Skitty	Normal	
301	Delcatty	Normal	
302	Sableye	Dark	Ghost
302	Mega Sableye	Dark	Ghost
303	Mawile	Steel	Fairy
303	Mega Mawile	Steel	Fairy
304	Aron	Steel	Rock
305	Lairon	Steel	Rock
306	Aggron	Steel	Rock
306	Mega Aggron	Steel	
307	Meditite	Fighting	Psychic
308	Medicham	Fighting	Psychic
308	Medicham	Fighting	Psychic
308	Mega Medicham	Fighting	Psychic
309	Electrike	Electric	
310	Manectric	Electric	
310	Mega Manectric	Electric	
311	Plusle	Electric	
312	Minun	Electric	
313	Volbeat	Bug	
314	Illumise	Bug	
315	Roselia	Grass	Poison
316	Gulpin	Poison	
316	Gulpin	Poison	
317	Swalot	Poison	
318	Carvanha	Water	Dark
319	Sharpedo	Water	Dark
319	Mega Sharpedo	Water	Dark
320	Wailmer	Water	
321	Wailord	Water	
322	Numel	Fire	Ground
322	Numel	Fire	Ground
323	Camerupt	Fire	Ground
323	Mega Camerupt	Fire	Ground
324	Torkoal	Fire	
325	Spoink	Psychic	
326	Grumpig	Psychic	
327	Spinda	Normal	
328	Trapinch	Ground	
329	Vibrava	Ground	Dragon
330	Flygon	Ground	Dragon
331	Cacnea	Grass	
332	Cacturne	Grass	Dark
333	Swablu	Normal	Flying
334	Altaria	Dragon	Flying
334	Mega Altaria	Dragon	Fairy
335	Zangoose	Normal	
336	Seviper	Poison	
337	Lunatone	Rock	Psychic
338	Solrock	Rock	Psychic
339	Barboach	Water	Ground
340	Whiscash	Water	Ground
341	Corphish	Water	
342	Crawdaunt	Water	Dark
343	Baltoy	Ground	Psychic
344	Claydol	Ground	Psychic
345	Lileep	Rock	Grass
346	Cradily	Rock	Grass
347	Anorith	Rock	Bug
348	Armaldo	Rock	Bug
349	Feebas	Water	
350	Milotic	Water	
350	Milotic	Water	
351	Castform	Normal	
351	Sunny Castform	Fire	
351	Rainy Castform	Water	
351	Snowy Castform	Ice	
352	Kecleon	Normal	
353	Shuppet	Ghost	
354	Banette	Ghost	
354	Mega Banette	Ghost	
355	Duskull	Ghost	
356	Dusclops	Ghost	
357	Tropius	Grass	Flying
358	Chimecho	Psychic	
359	Absol	Dark	
359	Mega Absol	Dark	
360	Wynaut	Psychic	
361	Snorunt	Ice	
362	Glalie	Ice	
362	Mega Glalie	Ice	
363	Spheal	Ice	Water
364	Sealeo	Ice	Water
365	Walrein	Ice	Water
366	Clamperl	Water	
367	Huntail	Water	
368	Gorebyss	Water	
369	Relicanth	Water	Rock
370	Luvdisc	Water	
371	Bagon	Dragon	
372	Shelgon	Dragon	
373	Salamence	Dragon	Flying
373	Mega Salamence	Dragon	Flying
374	Beldum	Steel	Psychic
375	Metang	Steel	Psychic
376	Metagross	Steel	Psychic
376	Mega Metagross	Steel	Psychic
377	Regirock	Rock	
378	Regice	Ice	
379	Registeel	Steel	
380	Latias	Dragon	Psychic
380	Mega Latias	Dragon	Psychic
381	Latios	Dragon	Psychic
381	Mega Latios	Dragon	Psychic
382	Kyogre	Water	
382	Primal Kyogre	Water	
383	Groudon	Ground	
383	Primal Groudon	Ground	Fire
384	Rayquaza	Dragon	Flying
384	Mega Rayquaza	Dragon	Flying
385	Jirachi	Steel	Psychic
386	Speed Deoxys	Psychic	
386	Attack Deoxys	Psychic	
386	Defense Deoxys	Psychic	
386	Speed Deoxys	Psychic	
387	Turtwig	Grass	
388	Grotle	Grass	
389	Torterra	Grass	Ground
390	Chimchar	Fire	
391	Monferno	Fire	Fighting
392	Infernape	Fire	Fighting
393	Piplup	Water	
394	Prinplup	Water	
395	Empoleon	Water	Steel
396	Starly	Normal	Flying
397	Staravia	Normal	Flying
397	Staravia	Normal	Flying
398	Staraptor	Normal	Flying
399	Bidoof	Normal	
399	Bidoof	Normal	
400	Bibarel	Normal	Water
400	Bibarel	Normal	Water
401	Kricketot	Bug	
402	Kricketune	Bug	
403	Shinx	Electric	
404	Luxio	Electric	
404	Luxio	Electric	
405	Luxray	Electric	
406	Budew	Grass	Poison
407	Roserade	Grass	Poison
407	Roserade	Grass	Poison
408	Cranidos	Rock	
409	Rampardos	Rock	
410	Shieldon	Rock	Steel
411	Bastiodon	Rock	Steel
412	Burmy	Bug	
412	Sandy Burmy	Bug	
412	Trash Burmy	Bug	
413	Wormadam	Bug	Grass
413	Sandy Wormadam	Bug	Ground
413	Trash Wormadam	Bug	Steel
414	Mothim	Bug	Flying
415	Combee	Bug	Flying
416	Vespiquen	Bug	Flying
417	Pachirisu	Electric	
417	Pachirisu	Electric	
418	Buizel	Water	
419	Floatzel	Water	
420	Cherubi	Grass	
421	Cherrim	Grass	
421	Sunshine Cherrim	Grass	
422	Shellos	Water	
422	East Sea Shellos	Water	
423	Gastrodon	Water	Ground
423	East Sea Gastrodon	Water	Ground
424	Ambipom	Normal	
425	Drifloon	Ghost	Flying
426	Drifblim	Ghost	Flying
427	Buneary	Normal	
428	Lopunny	Normal	
428	Mega Lopunny	Normal	Fighting
429	Mismagius	Ghost	
430	Honchkrow	Dark	Flying
431	Glameow	Normal	
432	Purugly	Normal	
433	Chingling	Psychic	
434	Stunky	Poison	Dark
435	Skuntank	Poison	Dark
436	Bronzor	Steel	Psychic
437	Bronzong	Steel	Psychic
438	Bonsly	Rock	
439	Mime Jr.	Psychic	Fairy
440	Happiny	Normal	
441	Chatot	Normal	Flying
442	Spiritomb	Ghost	Dark
443	Gible	Dragon	Ground
443	Gible	Dragon	Ground
444	Gabite	Dragon	Ground
445	Garchomp	Dragon	Ground
445	Garchomp	Dragon	Ground
445	Mega Garchomp	Dragon	Ground
446	Munchlax	Normal	
447	Riolu	Fighting	
448	Lucario	Fighting	Steel
448	Mega Lucario	Fighting	Steel
449	Hippopotas	Ground	
450	Hippowdon	Ground	
450	Hippowdon	Ground	
451	Skorupi	Poison	Bug
452	Drapion	Poison	Dark
453	Croagunk	Poison	Fighting
454	Toxicroak	Poison	Fighting
454	Toxicroak	Poison	Fighting
455	Carnivine	Grass	
456	Finneon	Water	
457	Lumineon	Water	
457	Lumineon	Water	
458	Mantyke	Water	Flying
459	Snover	Grass	Ice
460	Abomasnow	Grass	Ice
460	Abomasnow	Grass	Ice
460	Mega Abomasnow	Grass	Ice
461	Weavile	Dark	Ice
462	Magnezone	Electric	Steel
463	Lickilicky	Normal	
464	Rhyperior	Ground	Rock
464	Rhyperior	Ground	Rock
465	Tangrowth	Grass	
466	Electivire	Electric	
467	Magmortar	Fire	
468	Togekiss	Fairy	Flying
469	Yanmega	Bug	Flying
470	Leafeon	Grass	
471	Glaceon	Ice	
472	Gliscor	Ground	Flying
473	Mamoswine	Ice	Ground
473	Mamoswine	Ice	Ground
474	Porygon-Z	Normal	
475	Gallade	Psychic	Fighting
475	Mega Gallade	Psychic	Fighting
476	Probopass	Rock	Steel
477	Dusknoir	Ghost	
478	Froslass	Ice	Ghost
479	Rotom	Electric	Ghost
479	Heat Rotom	Electric	Fire
479	Wash Rotom	Electric	Water
479	Frost Rotom	Electric	Ice
479	Fan Rotom	Electric	Flying
479	Mow Rotom	Electric	Grass
479	Rotom Pokédex	Electric	
479	Rotom Phone	Electric	
479	Rotom Drone	Electric	
480	Uxie	Psychic	
481	Mesprit	Psychic	
482	Azelf	Psychic	
483	Dialga	Steel	Dragon
483	Origin Dialga	Steel	Dragon
484	Palkia	Water	Dragon
484	Origin Palkia	Water	Dragon
485	Heatran	Fire	Steel
486	Regigigas	Normal	
487	Giratina	Ghost	Dragon
487	Origin Giratina	Ghost	Dragon
488	Cresselia	Psychic	
489	Phione	Water	
490	Manaphy	Water	
491	Darkrai	Dark	
492	Shaymin	Grass	
492	Sky Shaymin	Grass	Flying
493	Arceus	Normal	
493	Bug Arceus	Bug	
493	Dark Arceus	Dark	
493	Dragon Arceus	Dragon	
493	Electric Arceus	Electric	
493	Fighting Arceus	Fighting	
493	Fire Arceus	Fire	
493	Flying Arceus	Flying	
493	Ghost Arceus	Ghost	
493	Grass Arceus	Grass	
493	Ground Arceus	Ground	
493	Ice Arceus	Ice	
493	Poison Arceus	Poison	
493	Psychic Arceus	Psychic	
493	Rock Arceus	Rock	
493	Steel Arceus	Steel	
493	Water Arceus	Water	
493	Fairy Arceus	Fairy	
494	Victini	Psychic	Fire
495	Snivy	Grass	
496	Servine	Grass	
497	Serperior	Grass	
498	Tepig	Fire	
499	Pignite	Fire	Fighting
500	Emboar	Fire	Fighting
501	Oshawott	Water	
502	Dewott	Water	
503	Samurott	Water	
503	Hisuian Samurott	Water	Dark
504	Patrat	Normal	
505	Watchog	Normal	
506	Lillipup	Normal	
507	Herdier	Normal	
508	Stoutland	Normal	
509	Purrloin	Dark	
510	Liepard	Dark	
511	Pansage	Grass	
512	Simisage	Grass	
513	Pansear	Fire	
514	Simisear	Fire	
515	Panpour	Water	
516	Simipour	Water	
517	Munna	Psychic	
518	Musharna	Psychic	
519	Pidove	Normal	Flying
520	Tranquill	Normal	Flying
521	Unfezant	Normal	Flying
522	Blitzle	Electric	
523	Zebstrika	Electric	
524	Roggenrola	Rock	
525	Boldore	Rock	
526	Gigalith	Rock	
527	Woobat	Psychic	Flying
528	Swoobat	Psychic	Flying
529	Drilbur	Ground	
530	Excadrill	Ground	Steel
531	Audino	Normal	
531	Mega Audino	Normal	Fairy
532	Timburr	Fighting	
533	Gurdurr	Fighting	
534	Conkeldurr	Fighting	
535	Tympole	Water	
536	Palpitoad	Water	Ground
537	Seismitoad	Water	Ground
538	Throh	Fighting	
539	Sawk	Fighting	
540	Sewaddle	Bug	Grass
541	Swadloon	Bug	Grass
542	Leavanny	Bug	Grass
543	Venipede	Bug	Poison
544	Whirlipede	Bug	Poison
545	Scolipede	Bug	Poison
546	Cottonee	Grass	Fairy
547	Whimsicott	Grass	Fairy
548	Petilil	Grass	
549	Lilligant	Grass	
549	Hisuian Lilligant	Grass	Fighting
550	Basculin	Water	
550	Blue-Striped Basculin	Water	
550	White-Striped Basculin	Water	
551	Sandile	Ground	Dark
552	Krokorok	Ground	Dark
553	Krookodile	Ground	Dark
554	Darumaka	Fire	
554	Galarian Darumaka	Ice	
555	Darmanitan	Fire	
555	Zen Darmanitan	Fire	Psychic
555	Galarian Zen Darmanitan	Ice	Fire
556	Maractus	Grass	
557	Dwebble	Bug	Rock
558	Crustle	Bug	Rock
559	Scraggy	Dark	Fighting
560	Scrafty	Dark	Fighting
561	Sigilyph	Psychic	Flying
562	Yamask	Ghost	
562	Galarian Yamask	Ground	Ghost
563	Cofagrigus	Ghost	
564	Tirtouga	Water	Rock
565	Carracosta	Water	Rock
566	Archen	Rock	Flying
567	Archeops	Rock	Flying
568	Trubbish	Poison	
569	Garbodor	Poison	
569	Gigantamax Garbodor	Poison	
570	Zorua	Dark	
570	Hisuian Zorua	Normal	Ghost
571	Zoroark	Dark	
571	Hisuian Zoroark	Normal	Ghost
572	Minccino	Normal	
573	Cinccino	Normal	
574	Gothita	Psychic	
575	Gothorita	Psychic	
576	Gothitelle	Psychic	
577	Solosis	Psychic	
578	Duosion	Psychic	
579	Reuniclus	Psychic	
580	Ducklett	Water	Flying
581	Swanna	Water	Flying
582	Vanillite	Ice	
583	Vanillish	Ice	
584	Vanilluxe	Ice	
585	Deerling	Normal	Grass
585	Summer Deerling	Normal	Grass
585	Autumn Deerling	Normal	Grass
585	Winter Deerling	Normal	Grass
586	Sawsbuck	Normal	Grass
586	Summer Sawsbuck	Normal	Grass
586	Autumn Sawsbuck	Normal	Grass
586	Winter Sawsbuck	Normal	Grass
587	Emolga	Electric	Flying
588	Karrablast	Bug	
589	Escavalier	Bug	Steel
590	Foongus	Grass	Poison
591	Amoonguss	Grass	Poison
592	Frillish	Water	Ghost
593	Jellicent	Water	Ghost
593	Jellicent	Water	Ghost
594	Alomomola	Water	
595	Joltik	Bug	Electric
596	Galvantula	Bug	Electric
597	Ferroseed	Grass	Steel
598	Ferrothorn	Grass	Steel
599	Klink	Steel	
600	Klang	Steel	
601	Klinklang	Steel	
602	Tynamo	Electric	
603	Eelektrik	Electric	
604	Eelektross	Electric	
605	Elgyem	Psychic	
606	Beheeyem	Psychic	
607	Litwick	Ghost	Fire
608	Lampent	Ghost	Fire
609	Chandelure	Ghost	Fire
610	Axew	Dragon	
611	Fraxure	Dragon	
612	Haxorus	Dragon	
613	Cubchoo	Ice	
614	Beartic	Ice	
615	Cryogonal	Ice	
616	Shelmet	Bug	
617	Accelgor	Bug	
618	Stunfisk	Ground	Electric
618	Galarian Stunfisk	Ground	Steel
619	Mienfoo	Fighting	
620	Mienshao	Fighting	
621	Druddigon	Dragon	
622	Golett	Ground	Ghost
623	Golurk	Ground	Ghost
624	Pawniard	Dark	Steel
625	Bisharp	Dark	Steel
626	Bouffalant	Normal	
627	Rufflet	Normal	Flying
628	Braviary	Normal	Flying
628	Hisuian Braviary	Psychic	Flying
629	Vullaby	Dark	Flying
630	Mandibuzz	Dark	Flying
631	Heatmor	Fire	
632	Durant	Bug	Steel
633	Deino	Dark	Dragon
634	Zweilous	Dark	Dragon
635	Hydreigon	Dark	Dragon
636	Larvesta	Bug	Fire
637	Volcarona	Bug	Fire
638	Cobalion	Steel	Fighting
639	Terrakion	Rock	Fighting
640	Virizion	Grass	Fighting
641	Tornadus	Flying	
641	Therian Tornadus	Flying	
642	Thundurus	Electric	Flying
642	Therian Thundurus	Electric	Flying
643	Reshiram	Dragon	Fire
644	Zekrom	Dragon	Electric
645	Landorus	Ground	Flying
645	Therian Landorus	Ground	Flying
646	Kyurem	Dragon	Ice
646	Black Kyurem	Dragon	Ice
646	White Kyurem	Dragon	Ice
647	Keldeo	Water	Fighting
647	Resolute Keldeo	Water	Fighting
648	Meloetta	Normal	Psychic
648	Pirouette Meloetta	Normal	Fighting
649	Genesect	Bug	Steel
649	High-speed Flight Configuration Genesect	Bug	Steel
650	Chespin	Grass	
651	Quilladin	Grass	
652	Chesnaught	Grass	Fighting
653	Fennekin	Fire	
654	Braixen	Fire	
655	Delphox	Fire	Psychic
656	Froakie	Water	
657	Frogadier	Water	
658	Greninja	Water	Dark
658	Ash's Greninja	Water	Dark
659	Bunnelby	Normal	
660	Diggersby	Normal	Ground
661	Fletchling	Normal	Flying
662	Fletchinder	Fire	Flying
